id,word
70,watch
70,video
70,learn
70,prevent
70,spread
70,respiratory
70,disease
70,coronavirus
70,covid
71,update
71,senate
71,pass
71,usmca
71,trade
71,agreement
71,huge
71,win
71,american
71,job
72,shi
72,i’m
72,senate
72,fight
72,arizonans
72,play
72,polis
72,game
72,liberal
72,hack
73,demand
73,fairness
73,shout
73,pelosi
73,democrat
73,dems
73,house
73,wouldn’t
73,witness
73,lawyer
73,question
73,unfair
73,witch
73,hunt
73,history
73,congress
74,simple
74,step
74,american
74,community
74,decrease
74,spread
74,coronavirus
75,fake
75,impeachment
75,president
75,trumptownhall
76,additional
76,action
76,ensure
76,medicare
76,paripating
76,hospital
76,emergency
76,department
76,continue
76,implement
77,ad
77,watch
77,pay
77,mini
77,mike
77,bloomberg
77,waste
77,money
77,dnc
77,rig
77,election
77,crazy
77,bernie
77,wouldn’t
77,bernie
78,board
78,air
78,force
78,head
78,charlotte
78,nc
78,opportunitynow
78,summit
79,nancy
79,pelosi
79,it’s
79,question
79,proof
79,it’s
79,question
79,allegation
79,disgrace
79,impeachment
79,scam
79,country
80,diy
80,cop
80,james
80,comey
80,catch
81,american
81,die
81,common
81,flu
81,average
81,shut
81,life
81,economy
81,moment
81,confirm
81,coronavirus
81,death
82,friend
82,admirer
82,queen
82,unite
82,kingdom
82,report
82,harry
82,meghan
82,leave
82,kingdom
82,reside
82,permanently
82,canada
82,leave
82,canada
82,u.s
82,u.s
82,pay
82,security
82,protion
82,pay
83,win
84,ken
84,langone
84,american
84,wonderful
84,comment
85,mini
85,mike
85,negotiate
85,democrat
85,primary
85,debate
85,stage
85,stand
85,box
85,lift
85,debate
85,fair
86,impeach
86,president
86,time
86,impeachment
86,trial
86,arizona
86,people
86,tire
86,obstruction
86,investigation
86,impeachments
86,martha
87,prevent
87,spread
87,covid
87,call
87,doctor
87,develop
87,symptom
87,close
87,cont
88,nih
88,launch
88,phase
88,clinicaltrial
88,evaluate
88,vaccine
88,candidate
88,coronavirus
88,covid
88,trial
89,trump
89,vow
89,coronavirus
89,ravage
89,economy
89,bounce
89,foxnews
89,cnn
89,msnbc
90,macron
90,call
90,wide
90,hydroxychloroquine
90,coronavirus
90,fight
90,report
90,foxnews
90,cn
91,compare
91,president
91,run
91,democrat
91,win
92,house
92,impeachment
92,manager's
92,tuesday
92,day
92,hear
92,story
92,video
93,info
93,bring
93,floor
93,allege
93,ukrainian
93,people
94,people
94,containment
94,policy
94,instance
94,shut
94,hotel
94,bar
94,restaurant
94,money
94,onslaught
94,chinese
94,virus
94,fault
94,strong
95,ag
95,william
95,barr
95,russia
95,investigation
95,trouble
95,foxnews
96,democrat
96,charge
